<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/italian#sentipolc16'>sentipolc16</a>,<a href='https://euroeval.com/datasets/italian#multinerd-it'>multinerd_it</a>,<a href='https://euroeval.com/datasets/italian#scala-it'>scala_it</a>,<a href='https://euroeval.com/datasets/italian#squad-it'>squad_it</a>,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.97,?,?,200000.0,✓,✗,✗,✓,71.36 ± 1.02 / 79.53 ± 0.78,79.40 ± 1.02 / 58.17 ± 1.58,25.57 ± 1.87 / 47.52 ± 1.91,75.10 ± 0.91 / 51.36 ± 1.14,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#thinking (zero-shot, val)</a>",🤔,1.98,?,?,200000.0,✓,✗,✗,✓,71.05 ± 1.69 / 78.49 ± 1.30,78.69 ± 1.86 / 53.60 ± 1.82,26.57 ± 1.78 / 49.61 ± 1.59,72.88 ± 1.04 / 47.90 ± 1.25,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.99,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,64.79 ± 2.30 / 75.17 ± 2.07,81.32 ± 0.95 / 64.94 ± 1.39,27.42 ± 4.06 / 61.18 ± 3.27,76.71 ± 1.16 / 59.81 ± 1.71,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-9B-Base'>Qwen/Qwen3.5-9B-Base (val)</a>,🧠,1.99,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,31.95 ± 2.36 / 37.56 ± 1.87,76.75 ± 1.61 / 65.68 ± 1.49,58.14 ± 3.19 / 78.59 ± 1.81,77.89 ± 1.81 / 58.02 ± 1.49,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,1.99,81324862720.0,151936.0,262144.0,✓,✗,✗,✓,62.74 ± 1.88 / 73.16 ± 1.69,79.08 ± 1.13 / 53.95 ± 1.55,35.30 ± 3.76 / 61.63 ± 3.77,70.58 ± 0.67 / 48.50 ± 1.37,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,1.99,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,63.85 ± 1.27 / 74.65 ± 1.09,65.98 ± 1.30 / 56.73 ± 1.11,62.14 ± 2.06 / 80.96 ± 1.04,46.37 ± 1.08 / 34.37 ± 1.32,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.00,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,64.21 ± 1.06 / 74.96 ± 0.94,76.33 ± 1.68 / 44.27 ± 1.21,42.67 ± 1.11 / 67.43 ± 0.73,61.38 ± 0.71 / 36.57 ± 0.84,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/bullerwins/Magistral-Small-2506-fp8'>bullerwins/Magistral-Small-2506-fp8</a>,🧠,2.01,23575680000.0,131072.0,32768.0,✓,✗,(✓),✗,66.48 ± 1.23 / 77.06 ± 1.13,78.20 ± 1.39 / 61.70 ± 2.12,28.83 ± 6.97 / 62.30 ± 4.19,74.11 ± 1.25 / 54.86 ± 2.24,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,2.02,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,58.65 ± 1.09 / 71.31 ± 0.88,79.23 ± 1.20 / 68.26 ± 1.04,35.34 ± 2.22 / 59.66 ± 1.69,71.43 ± 2.22 / 51.68 ± 1.87,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,2.02,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,40.79 ± 1.38 / 56.50 ± 0.80,71.07 ± 2.81 / 60.53 ± 2.07,53.43 ± 3.01 / 75.99 ± 1.62,76.39 ± 2.64 / 59.97 ± 2.23,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B</a>,🤔,2.03,30532122624.0,151936.0,40960.0,✓,✗,✗,✓,63.98 ± 1.59 / 75.29 ± 0.98,84.97 ± 0.66 / 61.90 ± 1.81,27.28 ± 0.99 / 52.48 ± 0.74,70.09 ± 0.50 / 50.41 ± 1.12,15.8.2,15.8.2,15.8.2,15.8.2
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,2.03,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,64.56 ± 1.19 / 75.33 ± 0.97,76.97 ± 1.62 / 54.77 ± 1.78,31.31 ± 3.17 / 56.32 ± 2.89,70.25 ± 0.74 / 47.73 ± 1.57,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (val)</a>,📝,2.04,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,52.53 ± 1.50 / 67.13 ± 1.10,71.31 ± 0.76 / 53.51 ± 1.42,47.43 ± 1.73 / 72.97 ± 0.96,71.10 ± 0.63 / 42.91 ± 1.00,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/QwQ-32B'>Qwen/QwQ-32B</a>,🤔,2.04,32763876352.0,152064.0,40960.0,✓,✗,(✓),✓,64.66 ± 1.70 / 73.15 ± 1.57,82.70 ± 0.64 / 65.92 ± 1.30,26.68 ± 0.95 / 50.27 ± 0.63,71.20 ± 0.77 / 53.20 ± 0.84,15.8.1,15.8.1,15.8.1,15.8.1
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,2.05,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,58.27 ± 1.48 / 71.21 ± 1.13,72.68 ± 1.11 / 50.57 ± 2.76,43.24 ± 1.50 / 70.49 ± 0.89,68.73 ± 2.94 / 48.64 ± 2.80,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it</a>,📝,2.06,5439438272.0,262400.0,8192.0,✓,✗,(✓),✓,60.01 ± 1.27 / 72.88 ± 0.80,65.26 ± 1.69 / 40.55 ± 1.89,45.30 ± 1.59 / 70.28 ± 1.24,67.65 ± 0.51 / 45.73 ± 0.71,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,2.06,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,69.22 ± 1.38 / 78.17 ± 1.23,82.87 ± 0.84 / 59.80 ± 2.69,23.71 ± 1.95 / 54.79 ± 0.82,69.84 ± 0.88 / 43.27 ± 1.69,15.15.0,15.15.0,15.15.0,15.15.0
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E-Instruct'>meta-llama/Llama-4-Scout-17B-16E-Instruct</a>,📝,2.06,108641793536.0,200000.0,?,✓,✗,(✓),✓,64.65 ± 1.24 / 74.62 ± 1.13,77.36 ± 1.24 / 63.54 ± 1.94,30.01 ± 2.68 / 58.92 ± 2.94,67.11 ± 0.99 / 35.94 ± 2.17,15.13.0,15.13.0,15.13.0,15.13.0
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-Instruct'>LumiOpen/Llama-Poro-2-70B-Instruct</a>,📝,2.06,70553706496.0,128256.0,8192.0,✓,✗,(✓),✗,65.89 ± 0.93 / 76.20 ± 0.93,76.19 ± 1.34 / 47.86 ± 2.94,31.44 ± 2.84 / 61.36 ± 3.34,67.30 ± 0.78 / 40.15 ± 1.89,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,2.07,3402836480.0,100352.0,131072.0,✓,✗,(✓),✗,54.23 ± 1.79 / 68.97 ± 1.06,69.69 ± 1.70 / 51.75 ± 2.53,45.89 ± 2.23 / 71.41 ± 1.14,68.17 ± 1.79 / 52.38 ± 1.90,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-24B-Instruct-2501'>mistralai/Mistral-Small-24B-Instruct-2501</a>,📝,2.07,23572403200.0,131072.0,32768.0,✓,✗,(✓),✓,66.52 ± 1.60 / 77.52 ± 1.11,75.92 ± 0.91 / 50.73 ± 2.42,27.13 ± 1.42 / 50.81 ± 1.04,72.70 ± 0.66 / 52.15 ± 1.04,15.3.1,15.3.1,15.3.1,15.3.1
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#high (zero-shot, val)</a>",🤔,2.08,?,100256.0,272000.0,✓,✗,✗,✓,71.22 ± 1.69 / 78.08 ± 1.39,75.43 ± 1.78 / 47.02 ± 1.63,24.49 ± 2.13 / 48.03 ± 1.56,71.24 ± 1.24 / 46.60 ± 1.05,15.16.0,15.16.0,15.16.0,15.16.0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.08,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,57.28 ± 1.12 / 70.54 ± 0.65,73.81 ± 1.16 / 53.85 ± 2.60,41.26 ± 1.64 / 69.67 ± 0.91,68.83 ± 1.91 / 50.19 ± 1.76,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,2.08,?,100256.0,272000.0,✓,✗,✗,✓,73.43 ± 1.56 / 79.91 ± 1.12,76.80 ± 1.74 / 46.96 ± 1.29,22.20 ± 2.43 / 47.66 ± 1.57,71.56 ± 1.22 / 49.26 ± 1.08,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0
<a href='https://hf.co/Qwen/Qwen3-235B-A22B'>Qwen/Qwen3-235B-A22B</a>,🤔,2.09,235093634560.0,151936.0,40960.0,✓,✗,✗,✓,64.97 ± 1.83 / 74.26 ± 1.61,77.05 ± 0.97 / 49.38 ± 1.83,26.39 ± 1.41 / 52.42 ± 0.70,71.72 ± 0.77 / 53.57 ± 0.86,15.13.0,15.13.0,15.13.0,15.13.0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#no-thinking (zero-shot, val)</a>",📝,2.10,?,?,200000.0,✓,✗,✗,✓,71.86 ± 1.40 / 80.78 ± 0.97,64.77 ± 1.59 / 45.94 ± 1.75,29.55 ± 1.95 / 50.81 ± 1.67,71.30 ± 1.10 / 45.20 ± 1.36,15.13.0.dev0,15.13.0.dev0,15.13.0.dev0,15.13.0.dev0
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Thinking'>Qwen/Qwen3-Next-80B-A3B-Thinking</a>,🤔,2.10,81324862720.0,151936.0,262144.0,✓,✗,✗,✓,63.38 ± 1.17 / 72.30 ± 1.16,85.32 ± 1.03 / 61.43 ± 1.71,24.24 ± 1.37 / 46.38 ± 1.08,67.02 ± 1.98 / 50.55 ± 1.76,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/CohereForAI/aya-expanse-32b'>CohereForAI/aya-expanse-32b</a>,📝,2.10,32296476672.0,256000.0,8192.0,✗,✗,(✓),✗,65.35 ± 1.98 / 75.62 ± 2.01,73.34 ± 1.46 / 52.63 ± 2.04,29.71 ± 1.88 / 64.06 ± 1.36,72.10 ± 0.68 / 50.43 ± 1.79,15.4.1,15.4.1.dev0,15.4.1.dev0,15.4.1.dev0
<a href='https://ollama.com/library/gemma3:27b-it-fp16'>ollama_chat/gemma3:27b-it-fp16</a>,📝,2.10,?,?,?,✓,✗,✗,✓,66.88 ± 1.68 / 77.10 ± 1.45,79.39 ± 1.08 / 61.00 ± 2.61,23.07 ± 2.89 / 57.09 ± 2.65,70.87 ± 0.77 / 50.34 ± 1.46,15.3.1,15.3.1,15.3.1,15.3.1
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,2.10,?,?,400000.0,✓,✗,✗,✓,61.37 ± 0.98 / 71.13 ± 0.79,55.68 ± 1.43 / 34.33 ± 0.91,51.91 ± 1.32 / 74.31 ± 0.74,67.87 ± 0.53 / 41.51 ± 0.49,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,2.10,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,66.14 ± 1.41 / 76.38 ± 1.29,68.93 ± 0.92 / 45.42 ± 2.56,29.33 ± 1.84 / 56.70 ± 1.65,74.59 ± 0.87 / 54.86 ± 2.41,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,2.11,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,66.38 ± 1.11 / 77.08 ± 0.89,75.55 ± 1.42 / 54.23 ± 1.66,25.77 ± 3.06 / 57.00 ± 3.09,70.95 ± 0.76 / 48.52 ± 1.44,15.5.0,15.5.0,15.5.0,15.5.0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.11,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,56.72 ± 1.41 / 68.68 ± 1.48,78.04 ± 1.14 / 61.03 ± 2.71,37.06 ± 1.90 / 63.97 ± 2.56,62.57 ± 9.04 / 43.87 ± 8.76,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",📝,2.12,?,?,200000.0,✓,✗,✗,✓,70.47 ± 1.65 / 79.35 ± 1.17,70.71 ± 1.90 / 53.69 ± 1.70,25.65 ± 1.73 / 50.14 ± 1.55,67.95 ± 0.73 / 35.48 ± 1.04,15.3.1,15.3.1.dev0,15.3.1,15.3.1
"<a href='https://platform.openai.com/docs/models/o4-mini'>o4-mini-2025-04-16 (zero-shot, val)</a>",🤔,2.13,?,?,200000.0,✓,✗,✗,✓,70.34 ± 1.74 / 79.44 ± 1.17,70.58 ± 2.08 / 45.39 ± 1.31,25.40 ± 2.33 / 48.71 ± 1.91,69.93 ± 0.84 / 45.99 ± 1.21,15.6.1.dev0,15.6.1.dev0,15.6.1.dev0,15.6.1.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B</a>,🤔,2.13,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,65.64 ± 1.52 / 75.66 ± 1.23,76.86 ± 0.51 / 53.05 ± 0.94,28.75 ± 1.29 / 53.38 ± 0.69,64.06 ± 13.38 / 47.47 ± 10.37,15.8.1,15.8.1,15.8.1,15.8.1
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,2.15,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,66.68 ± 1.09 / 77.02 ± 1.10,75.58 ± 1.06 / 54.84 ± 2.26,23.61 ± 3.29 / 57.25 ± 2.94,71.39 ± 0.54 / 50.30 ± 1.27,15.5.0,15.5.0,15.5.0,15.5.0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,2.15,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,62.77 ± 1.77 / 74.78 ± 1.33,72.80 ± 1.32 / 51.00 ± 1.60,26.19 ± 1.63 / 54.27 ± 0.84,73.04 ± 0.83 / 54.04 ± 1.90,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,2.15,?,?,400000.0,✓,✗,✗,✓,57.88 ± 1.23 / 68.04 ± 0.86,53.88 ± 1.57 / 33.11 ± 0.80,52.00 ± 1.65 / 74.70 ± 0.91,67.24 ± 0.45 / 42.11 ± 0.72,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,2.15,?,100256.0,272000.0,✓,✗,✗,✓,67.60 ± 2.27 / 75.91 ± 1.72,65.00 ± 1.46 / 38.79 ± 1.35,29.24 ± 1.52 / 50.51 ± 1.55,70.82 ± 1.39 / 47.10 ± 1.77,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B#no-thinking</a>,📝,2.16,30532122624.0,151936.0,40960.0,✓,✗,✗,✓,62.75 ± 1.63 / 73.91 ± 1.35,74.60 ± 1.34 / 53.35 ± 1.87,26.25 ± 1.09 / 55.04 ± 0.81,70.19 ± 0.53 / 49.48 ± 1.13,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,2.16,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,64.01 ± 1.53 / 74.22 ± 1.26,70.16 ± 1.96 / 49.27 ± 2.07,29.17 ± 2.00 / 58.51 ± 1.66,70.82 ± 0.62 / 49.81 ± 1.32,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.17,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,57.93 ± 2.57 / 71.09 ± 2.00,72.48 ± 2.59 / 45.92 ± 3.09,41.68 ± 1.17 / 65.92 ± 0.79,57.02 ± 1.52 / 34.67 ± 2.07,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/RekaAI/reka-flash-3'>RekaAI/reka-flash-3</a>,🤔,2.17,20905482240.0,100352.0,32768.0,✓,✗,(✓),✗,65.90 ± 1.20 / 75.31 ± 1.09,72.80 ± 1.17 / 41.66 ± 1.62,24.26 ± 1.38 / 51.78 ± 1.56,69.73 ± 0.67 / 51.60 ± 0.81,15.9.2,15.9.2,15.9.2,15.9.2
<a href='https://hf.co/CohereForAI/c4ai-command-r-08-2024'>CohereForAI/c4ai-command-r-08-2024</a>,📝,2.18,32296476672.0,256000.0,131072.0,✗,✗,(✓),✗,56.07 ± 1.73 / 69.41 ± 1.42,80.10 ± 0.74 / 57.67 ± 2.47,27.31 ± 1.88 / 54.36 ± 2.55,72.56 ± 0.48 / 51.91 ± 0.70,15.3.1,15.3.1,15.3.1,15.3.1
<a href='https://ollama.com/library/gemma3:27b-it-q4_K_M'>ollama_chat/gemma3:27b-it-q4_K_M (val)</a>,📝,2.18,27400000000.0,262144.0,128000.0,✓,✗,✗,✓,65.74 ± 2.34 / 75.48 ± 1.54,75.86 ± 1.84 / 61.97 ± 3.17,17.89 ± 4.89 / 53.53 ± 2.48,75.45 ± 1.46 / 55.83 ± 1.59,15.3.0.dev0,15.3.0.dev0,15.3.0.dev0,15.3.0.dev0
<a href='https://hf.co/mistralai/Mistral-Nemo-Instruct-2407'>mistralai/Mistral-Nemo-Instruct-2407</a>,📝,2.19,12247782400.0,131072.0,131072.0,✓,✗,(✓),✓,61.20 ± 1.31 / 72.59 ± 1.66,65.49 ± 2.12 / 49.77 ± 1.69,31.77 ± 2.23 / 60.18 ± 3.63,73.31 ± 0.65 / 56.12 ± 0.64,15.3.1,15.3.1,15.3.1,15.3.1
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,2.20,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,61.07 ± 1.57 / 73.59 ± 1.15,59.40 ± 2.14 / 51.70 ± 1.87,57.06 ± 2.09 / 77.34 ± 1.14,42.72 ± 1.36 / 32.92 ± 1.25,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07#high (zero-shot, val)</a>",🤔,2.20,?,100256.0,272000.0,✓,✗,✗,✓,66.51 ± 2.22 / 73.94 ± 1.92,67.61 ± 1.71 / 41.08 ± 1.50,27.64 ± 1.79 / 50.48 ± 1.36,70.36 ± 1.19 / 46.87 ± 1.27,15.16.0,15.16.0,15.16.0,15.16.0
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.20,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,43.79 ± 3.52 / 59.13 ± 3.34,66.98 ± 2.28 / 54.15 ± 2.44,43.58 ± 6.18 / 67.01 ± 5.46,71.54 ± 3.09 / 55.46 ± 3.05,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B</a>,🤔,2.20,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,65.22 ± 1.25 / 74.60 ± 1.17,69.47 ± 1.28 / 50.71 ± 2.06,27.49 ± 1.14 / 53.54 ± 0.73,70.06 ± 0.81 / 54.11 ± 1.00,15.8.2,15.8.2,15.8.2,15.8.2
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,2.21,?,256128.0,1048576.0,✓,✗,✗,✓,68.70 ± 1.61 / 75.33 ± 1.45,65.77 ± 1.53 / 42.70 ± 1.47,26.75 ± 2.31 / 51.85 ± 1.52,68.58 ± 1.04 / 33.82 ± 0.95,15.13.0,15.13.0,15.13.0,15.13.0
<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512</a>,📝,2.21,?,?,?,✓,✗,(✓),✓,56.08 ± 1.25 / 70.27 ± 1.04,52.94 ± 2.41 / 33.59 ± 2.31,53.69 ± 1.68 / 76.56 ± 0.87,62.87 ± 0.46 / 41.94 ± 0.80,16.17.0,16.17.0,16.17.0,16.17.0
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,2.21,?,?,200000.0,✓,✗,✗,✓,71.00 ± 1.95 / 77.37 ± 1.71,64.79 ± 1.53 / 42.45 ± 1.74,23.18 ± 1.82 / 48.17 ± 1.45,71.19 ± 1.27 / 46.67 ± 1.28,15.8.1,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0
<a href='https://hf.co/RekaAI/reka-flash-3.1'>RekaAI/reka-flash-3.1</a>,🤔,2.21,20905482240.0,100352.0,98304.0,✓,✗,(✓),✗,67.85 ± 1.58 / 76.65 ± 1.27,75.28 ± 1.75 / 50.34 ± 2.40,24.99 ± 1.32 / 50.63 ± 1.12,60.72 ± 1.77 / 47.28 ± 1.18,15.13.0,15.13.0,15.13.0,15.13.0
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512</a>,📝,2.21,?,?,?,✓,✗,(✓),✓,53.37 ± 1.53 / 65.41 ± 1.73,58.66 ± 1.69 / 36.23 ± 2.33,45.90 ± 3.19 / 71.61 ± 2.64,68.77 ± 0.57 / 49.36 ± 1.03,16.17.0,16.17.0,16.17.0,16.17.0
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B</a>,🤔,2.23,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,62.95 ± 2.08 / 74.09 ± 1.48,76.98 ± 1.25 / 46.16 ± 1.90,25.61 ± 1.28 / 53.44 ± 0.62,62.62 ± 12.63 / 44.81 ± 9.59,15.8.2,15.8.2,15.8.2,15.8.2
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,2.23,?,?,400000.0,✓,✗,✗,✓,56.22 ± 1.03 / 66.37 ± 0.87,46.23 ± 1.35 / 26.11 ± 0.74,54.99 ± 1.30 / 77.04 ± 0.67,66.75 ± 0.58 / 41.31 ± 0.80,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16 (val)</a>,🧠,2.25,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,48.02 ± 2.20 / 63.89 ± 1.51,57.26 ± 2.85 / 47.95 ± 2.04,41.72 ± 3.62 / 69.19 ± 2.18,79.17 ± 0.48 / 60.15 ± 0.78,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,2.26,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,48.59 ± 1.01 / 49.20 ± 0.59,71.95 ± 2.88 / 50.19 ± 2.22,35.42 ± 3.09 / 63.44 ± 2.93,71.24 ± 1.02 / 46.90 ± 2.32,15.3.1,15.3.1,15.3.1,15.3.1
